                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.33858,                0.22368,                0.80573,                0.67106,                0.51352,                 0.5645,                0.37906,                0.97029,                0.71286,                 1.0199,             0.00014262,             0.00014262,             0.00014262
                     99,                  0.348,                0.22527,                0.80423,                0.66282,                0.51372,                0.56401,                0.37813,                 0.9695,                0.71382,                   1.02,             0.00013673,             0.00013673,             0.00013673
                    100,                0.33792,                0.21984,                0.80282,                0.65332,                0.51936,                0.56291,                0.37799,                0.96757,                0.71237,                 1.0199,             0.00013084,             0.00013084,             0.00013084
                    101,                0.33367,                 0.2171,                0.80109,                0.67413,                0.51252,                0.56338,                0.37854,                 0.9683,                0.70947,                 1.0201,             0.00012495,             0.00012495,             0.00012495
                    102,                0.33932,                0.21894,                0.80506,                0.66083,                0.51835,                0.56115,                0.37721,                0.97092,                0.70852,                 1.0214,             0.00011906,             0.00011906,             0.00011906
                    103,                0.34051,                0.21832,                0.80122,                0.68389,                0.51309,                0.56109,                0.37713,                0.97202,                0.71263,                 1.0212,             0.00011317,             0.00011317,             0.00011317
                    104,                0.33716,                0.21782,                0.80159,                0.67747,                0.51287,                0.56082,                0.37716,                0.97238,                0.70958,                 1.0204,             0.00010728,             0.00010728,             0.00010728
                    105,                0.33726,                 0.2168,                0.80393,                0.67764,                0.51236,                0.56318,                0.37868,                0.97202,                0.70426,                 1.0196,             0.00010139,             0.00010139,             0.00010139
                    106,                0.33012,                0.21322,                0.80237,                0.68486,                0.51227,                0.56329,                0.37857,                0.97205,                0.70487,                 1.0203,             9.5498e-05,             9.5498e-05,             9.5498e-05
                    107,                0.32685,                0.21123,                0.80101,                0.68183,                0.51199,                0.55983,                0.37718,                0.97125,                0.70573,                 1.0205,             8.9607e-05,             8.9607e-05,             8.9607e-05
                    108,                0.33419,                0.21425,                0.80412,                 0.6802,                0.50996,                0.55983,                0.37701,                0.96918,                0.70693,                   1.02,             8.3716e-05,             8.3716e-05,             8.3716e-05
                    109,                0.32601,                0.21076,                0.80212,                0.67909,                0.51122,                0.56109,                0.37773,                0.96815,                0.70915,                 1.0198,             7.7826e-05,             7.7826e-05,             7.7826e-05
